City_ID,City,Lat,Lng,MaxTemp,Humidity,Clouds,Wind,Country,Date
258,Esperance,-33.86,121.89,306.15,19,0,8.2,AU,Sun Mar 31 23:00:00 2019
259,Klosterneuburg,48.3,16.32,283.15,70,24,2.1,AT,Sun Mar 31 23:56:08 2019
260,Griffith,-34.29,146.06,296.15,40,90,3.6,AU,Sun Mar 31 23:00:00 2019
261,Valparaiso,-33.04,-71.63,285.15,87,0,1.2,CL,Sun Mar 31 23:00:00 2019
262,Oriximina,-1.77,-55.87,297.19,98,32,1.05,BR,Sun Mar 31 23:53:06 2019
263,Suriapet,17.15,79.62,308.19,43,32,5.7,IN,Sun Mar 31 23:56:38 2019
264,Abha,18.22,42.5,294.15,55,20,5.1,SA,Sun Mar 31 23:00:00 2019
265,Te anau,-45.41,167.72,280.74,66,68,4.45,NZ,Sun Mar 31 23:56:39 2019
266,Tulsipur,28.13,82.29,302.24,31,0,2.1,NP,Sun Mar 31 23:56:40 2019
267,Utinga,-5.82,-35.4,297.15,100,75,2.6,BR,Sun Mar 31 23:13:00 2019
268,Lavrentiya,65.58,-170.99,270.94,98,88,1.55,RU,Sun Mar 31 23:56:41 2019
269,Achisu,42.65,47.68,283.15,76,40,12,RU,Sun Mar 31 23:30:00 2019
270,Port hawkesbury,45.62,-61.36,277.59,100,90,3.1,CA,Sun Mar 31 23:55:48 2019
271,Ovsyanka,53.58,126.91,275.74,24,0,2.65,RU,Sun Mar 31 23:56:42 2019
272,Riyadh,24.63,46.72,295.15,30,75,5.7,SA,Sun Mar 31 23:00:00 2019
273,Eydhafushi,5.1,73.07,301.69,100,0,0.35,MV,Sun Mar 31 23:52:03 2019
274,Kodiak,39.95,-94.76,275.37,43,1,4.6,US,Sun Mar 31 23:55:46 2019
275,Salalah,17.01,54.1,301.15,65,40,2.6,OM,Sun Mar 31 22:50:00 2019
276,Upernavik,72.79,-56.15,261.29,100,76,0.65,GL,Sun Mar 31 23:56:45 2019
277,Ugoofaaru,5.67,73,301.69,100,0,0.35,MV,Sun Mar 31 23:52:06 2019
278,Preobrazheniye,42.9,133.91,273.04,51,76,1.6,RU,Sun Mar 31 23:56:46 2019
279,Saint-pierre,-21.34,55.48,305.15,58,0,4.1,RE,Sun Mar 31 23:50:11 2019
280,Slatina,45.7,17.7,284.15,53,0,2.1,HR,Sun Mar 31 23:15:00 2019
281,Katsuura,33.93,134.5,282.59,61,75,9.3,JP,Sun Mar 31 23:34:18 2019
282,Isangel,-19.55,169.27,302.15,74,75,3.1,VU,Sun Mar 31 23:00:00 2019
283,Seoul,37.57,126.98,283.15,21,75,3.6,KR,Sun Mar 31 23:40:00 2019
284,Yushu,44.84,126.53,277.94,39,56,5.55,CN,Sun Mar 31 23:56:49 2019
285,Caravelas,-17.73,-39.27,300.29,100,0,5,BR,Sun Mar 31 23:56:50 2019
286,Tazovskiy,67.47,78.7,270.59,97,12,5.85,RU,Sun Mar 31 23:56:07 2019
287,Sevilla,4.26,-75.93,291.19,99,92,0.75,CO,Sun Mar 31 23:56:50 2019
288,Houston,54.4,-126.65,275.15,69,1,1.5,CA,Sun Mar 31 23:00:00 2019
289,Petropavlovsk-kamchatskiy,53.05,158.65,273.15,87,20,5,RU,Sun Mar 31 23:30:00 2019
290,Northam,-31.65,116.67,300.15,51,0,5.7,AU,Sun Mar 31 23:30:00 2019
291,Biak,-0.91,122.88,301.54,88,48,1.15,ID,Sun Mar 31 23:56:52 2019
292,Beterou,9.2,2.26,296.24,90,88,2.5,BJ,Sun Mar 31 23:56:53 2019
293,Buala,-8.15,159.59,302.49,82,92,2.65,SB,Sun Mar 31 23:56:53 2019
294,Nikel,69.41,30.22,268.15,79,40,17.5,RU,Sun Mar 31 23:20:00 2019
295,Makakilo city,21.35,-158.09,297.15,73,1,4.1,US,Sun Mar 31 23:56:33 2019
296,Pastos bons,-6.6,-44.09,296.44,95,48,0.95,BR,Sun Mar 31 23:56:55 2019
297,Lebu,-37.62,-73.65,285.59,98,88,5.85,CL,Sun Mar 31 23:56:55 2019
298,Launceston,-41.43,147.14,290.15,48,40,5.7,AU,Sun Mar 31 23:55:55 2019
299,Muravlenko,63.79,74.5,272.09,95,0,6.35,RU,Sun Mar 31 23:56:56 2019
300,Tavricheskoye,54.59,73.64,277.15,69,0,7,RU,Sun Mar 31 23:30:00 2019
301,Fort nelson,58.81,-122.69,273.15,57,5,2.6,CA,Sun Mar 31 23:00:00 2019
302,Napanee,44.25,-76.95,271.48,79,75,4.6,CA,Sun Mar 31 23:51:28 2019
303,Khuzhir,53.19,107.35,276.24,55,0,1.9,RU,Sun Mar 31 23:56:59 2019
304,La vergne,36.02,-86.58,275.37,62,1,3.6,US,Sun Mar 31 23:56:29 2019
305,Teya,60.37,92.63,274.54,77,76,3.95,RU,Sun Mar 31 23:57:05 2019
306,Yatou,33.81,104.32,288.59,26,0,0.9,CN,Sun Mar 31 23:57:05 2019
307,Ritchie,-29.03,24.6,294.15,40,0,1,ZA,Sun Mar 31 23:00:00 2019
308,Rovaniemi,66.5,25.72,268.15,62,0,3.6,FI,Sun Mar 31 23:20:00 2019
309,Kikwit,-5.04,18.82,297.34,93,12,1.9,CD,Sun Mar 31 23:57:07 2019
310,Lodja,-3.52,23.6,297.19,92,0,1.65,CD,Sun Mar 31 23:57:08 2019
311,Santa ana de yusguare,13.3,-87.11,293.94,79,0,0.85,HN,Sun Mar 31 23:57:08 2019
312,Tautira,-17.73,-149.15,300.15,83,40,1.5,PF,Sun Mar 31 23:52:22 2019
313,Yarkovo,54.81,82.6,278.15,56,40,6,RU,Sun Mar 31 23:30:00 2019
314,Hakodate,41.8,140.75,279.15,52,75,5.7,JP,Sun Mar 31 23:00:00 2019
315,Ingersoll,43.04,-80.88,268.71,85,75,2.6,CA,Sun Mar 31 23:56:27 2019
316,San vicente,14.11,122.87,300.39,100,0,5.75,PH,Sun Mar 31 23:57:11 2019
317,Korla,41.76,86.15,292.14,32,12,2.05,CN,Sun Mar 31 23:57:11 2019
318,Dezhou,37.45,116.31,291.69,27,0,4.7,CN,Sun Mar 31 23:57:12 2019
319,Hashtrud,37.48,47.05,275.84,100,92,2.1,IR,Sun Mar 31 23:57:12 2019
320,Presidencia roque saenz pena,-26.79,-60.44,295.14,94,36,4.05,AR,Sun Mar 31 23:57:13 2019
321,Taoudenni,22.68,-3.98,284.04,79,0,2.75,ML,Sun Mar 31 23:57:14 2019
322,Cayenne,4.94,-52.33,296.15,88,92,0.5,GF,Sun Mar 31 23:30:00 2019
323,The valley,18.22,-63.06,298.15,83,20,4.6,AI,Sun Mar 31 23:45:50 2019
324,Kenai,60.55,-151.26,275.93,91,1,2.6,US,Sun Mar 31 23:57:04 2019
